hhid,eligible_members,formal_savers,informal_savers,savings_responses,savings_answered,savings_target,bank_access_count,mobile_money_access_count,assisted_banking_count,any_bank_access,any_mobile_money_access,any_assisted_banking,household_size,members_with_age,head_indiv,head_sex_code,head_age,state_code,lga_code,zone_code,urban_rural_code,state_name,working_age_members,members_any_work,members_income_activity,members_helped_income_activity,reported_main_job_earnings,total_reported_main_job_earnings,employment_rate,digital_age10_members,mobile_access_count,internet_access_count,any_mobile_access,any_internet_access,asset_items_listed,asset_types_owned,total_units_owned,total_current_asset_value,income_source_types_listed,income_source_types_received,total_reported_income_sources
59120,3,0,0,3,3,0,0,0,0,0,0,0,7.0,7.0,1.0,1.0,40.0,5.0,509.0,2.0,2.0,Bauchi,7,1,0,0,1,40000.0,0.14285714285714285,5,5,0,1,0,42,5,17.0,43000.0,7,0,0.0
59121,8,0,0,8,8,0,0,0,0,0,0,0,13.0,13.0,1.0,1.0,67.0,5.0,511.0,2.0,2.0,Bauchi,13,6,0,0,0,0.0,0.46153846153846156,12,12,0,1,0,42,2,8.0,6700.0,7,0,0.0
59122,8,2,0,8,8,1,2,8,8,1,1,1,9.0,9.0,1.0,1.0,73.0,5.0,511.0,2.0,2.0,Bauchi,9,9,0,0,9,250000.0,1.0,9,9,0,1,0,42,7,20.0,151500.0,7,1,135000.0
59124,7,0,0,7,7,0,0,0,0,0,0,0,11.0,11.0,1.0,1.0,59.0,5.0,511.0,2.0,2.0,Bauchi,11,6,0,0,0,0.0,0.5454545454545454,10,10,0,1,0,42,2,6.0,12000.0,7,0,0.0
59125,6,1,0,6,6,1,1,3,3,1,1,1,13.0,13.0,1.0,1.0,49.0,5.0,511.0,2.0,2.0,Bauchi,11,10,0,0,10,100000.0,0.9090909090909091,8,8,0,1,0,42,6,15.0,158500.0,7,1,250000.0
59127,7,0,0,7,7,0,0,0,0,0,0,0,9.0,9.0,1.0,1.0,52.0,5.0,511.0,2.0,2.0,Bauchi,9,3,0,0,0,0.0,0.3333333333333333,8,8,0,1,0,42,4,10.0,19000.0,7,0,0.0
59128,8,1,0,8,8,1,1,4,5,1,1,1,9.0,9.0,1.0,1.0,57.0,5.0,511.0,2.0,2.0,Bauchi,10,9,0,0,9,200000.0,0.9,10,10,0,1,0,42,6,16.0,126900.0,7,1,170000.0
59129,6,0,0,6,6,0,0,0,0,0,0,0,6.0,6.0,1.0,1.0,52.0,5.0,511.0,2.0,2.0,Bauchi,7,2,0,0,2,158000.0,0.2857142857142857,7,7,0,1,0,42,4,16.0,46000.0,7,0,0.0
59130,3,0,0,3,3,0,0,0,0,0,0,0,3.0,3.0,1.0,1.0,82.0,5.0,511.0,2.0,2.0,Bauchi,4,2,0,0,0,0.0,0.5,4,4,0,1,0,42,3,8.0,11000.0,7,0,0.0
59132,12,0,0,12,12,0,0,0,0,0,0,0,23.0,23.0,1.0,1.0,70.0,5.0,511.0,2.0,2.0,Bauchi,23,7,0,0,7,254000.0,0.30434782608695654,15,15,0,1,0,42,4,37.0,36800.0,7,0,0.0
59133,4,0,0,4,4,0,0,0,0,0,0,0,9.0,9.0,1.0,1.0,41.0,5.0,514.0,2.0,2.0,Bauchi,8,4,0,0,0,0.0,0.5,6,6,0,1,0,42,5,13.0,94500.0,7,0,0.0
59135,5,2,2,5,5,1,2,3,2,1,1,1,4.0,4.0,2.0,2.0,55.0,18.0,1806.0,3.0,2.0,Kaduna,5,2,1,0,3,82000.0,0.4,5,3,0,1,0,42,10,28.0,128100.0,7,0,0.0
59136,4,0,0,4,4,0,0,1,0,0,1,0,9.0,9.0,1.0,1.0,38.0,5.0,514.0,2.0,2.0,Bauchi,9,1,0,0,1,240000.0,0.1111111111111111,7,6,0,1,0,42,4,7.0,37200.0,7,0,0.0
59137,5,0,0,5,5,0,0,0,0,0,0,0,10.0,10.0,1.0,1.0,54.0,5.0,514.0,2.0,2.0,Bauchi,9,5,0,0,5,73000.0,0.5555555555555556,8,6,0,1,0,42,3,8.0,36000.0,7,0,0.0
